record_id,dataset,mix_id,mix_family,ref,temp_source,curing_type,curing_C,WC,cement,fly_ash,SCM_other,binder,Sa,RH,age_day,time_h,M_NS,t_eq,DD,f_c,fck,peakT,peak_day,maturity_provisional
622,lit503,Series A – 5 °C (OPC),Series A,"Kim et al.,1998",ambient,,5.0,0.43,407.0,0.0,0.0,407.0,46.0,95.0,28.0,672.0,10080.0,287.9578918998238,140.0,36.7,,,,False
623,lit503,Series B – 20 °C (OPC),Series B,"Kim et al.,1998",ambient,,20.0,0.43,407.0,0.0,0.0,407.0,46.0,95.0,1.0,24.0,720.0,24.0,20.0,16.4,,,,False
624,lit503,Series B – 20 °C (OPC),Series B,"Kim et al.,1998",ambient,,20.0,0.43,407.0,0.0,0.0,407.0,46.0,95.0,3.0,72.0,2160.0,72.0,60.0,24.8,,,,False
625,lit503,Series B – 20 °C (OPC),Series B,"Kim et al.,1998",ambient,,20.0,0.43,407.0,0.0,0.0,407.0,46.0,95.0,7.0,168.0,5040.0,168.0,140.0,33.6,,,,False
626,lit503,Series B – 20 °C (OPC),Series B,"Kim et al.,1998",ambient,,20.0,0.43,407.0,0.0,0.0,407.0,46.0,95.0,14.0,336.0,10080.0,336.0,280.0,40.2,,,,False
627,lit503,Series B – 20 °C (OPC),Series B,"Kim et al.,1998",ambient,,20.0,0.43,407.0,0.0,0.0,407.0,46.0,95.0,28.0,672.0,20160.0,672.0,560.0,45.3,,,,False
628,lit503,Series C – 40 °C (OPC),Series C,"Kim et al.,1998",ambient,,40.0,0.43,407.0,0.0,0.0,407.0,46.0,95.0,1.0,24.0,1200.0,65.47643466734098,40.0,22.8,,,,False
629,lit503,Series C – 40 °C (OPC),Series C,"Kim et al.,1998",ambient,,40.0,0.43,407.0,0.0,0.0,407.0,46.0,95.0,3.0,72.0,3600.0,196.42930400202295,120.0,31.4,,,,False
630,lit503,Series C – 40 °C (OPC),Series C,"Kim et al.,1998",ambient,,40.0,0.43,407.0,0.0,0.0,407.0,46.0,95.0,7.0,168.0,8400.0,458.3350426713869,280.0,39.6,,,,False
631,lit503,Series C – 40 °C (OPC),Series C,"Kim et al.,1998",ambient,,40.0,0.43,407.0,0.0,0.0,407.0,46.0,95.0,14.0,336.0,16800.0,916.6700853427737,560.0,45.8,,,,False
632,lit503,Series C – 40 °C (OPC),Series C,"Kim et al.,1998",ambient,,40.0,0.43,407.0,0.0,0.0,407.0,46.0,95.0,28.0,672.0,33600.0,1833.3401706855475,1120.0,48.7,,,,False
633,lit503,Series D – 20 °C (BFS 30%),Series D,"Kim et al.,1998",ambient,,20.0,0.43,285.0,0.0,122.0,407.0,46.0,95.0,1.0,24.0,720.0,24.0,20.0,14.9,,,,False
634,lit503,Series D – 20 °C (BFS 30%),Series D,"Kim et al.,1998",ambient,,20.0,0.43,285.0,0.0,122.0,407.0,46.0,95.0,3.0,72.0,2160.0,72.0,60.0,22.5,,,,False
635,lit503,Series D – 20 °C (BFS 30%),Series D,"Kim et al.,1998",ambient,,20.0,0.43,285.0,0.0,122.0,407.0,46.0,95.0,7.0,168.0,5040.0,168.0,140.0,29.6,,,,False
636,lit503,Series D – 20 °C (BFS 30%),Series D,"Kim et al.,1998",ambient,,20.0,0.43,285.0,0.0,122.0,407.0,46.0,95.0,14.0,336.0,10080.0,336.0,280.0,35.8,,,,False
637,lit503,Series D – 20 °C (BFS 30%),Series D,"Kim et al.,1998",ambient,,20.0,0.43,285.0,0.0,122.0,407.0,46.0,95.0,28.0,672.0,20160.0,672.0,560.0,41.0,,,,False
638,lit503,CKD-0-40 (5 °C),CKD,"Han, 2007",ambient,,5.0,0.4,400.0,0.0,0.0,400.0,46.0,95.0,1.0,24.0,360.0,10.284210424993706,5.0,15.2,,,,False
639,lit503,CKD-0-40 (20 °C),CKD,"Han, 2007",ambient,,20.0,0.4,400.0,0.0,0.0,400.0,46.0,95.0,7.0,168.0,5040.0,168.0,140.0,35.1,,,,False
640,lit503,CKD-0-40 (35 °C),CKD,"Han, 2007",ambient,,35.0,0.4,400.0,0.0,0.0,400.0,46.0,95.0,28.0,672.0,30240.0,1444.039026613065,980.0,44.7,,,,False
641,lit503,CKD-10-40 (20 °C),CKD,"Han, 2007",ambient,,20.0,0.4,360.0,0.0,0.0,360.0,46.0,95.0,1.0,24.0,720.0,24.0,20.0,14.8,,,,False
642,lit503,CKD-10-40 (20 °C),CKD,"Han, 2007",ambient,,20.0,0.4,360.0,0.0,0.0,360.0,46.0,95.0,7.0,168.0,5040.0,168.0,140.0,33.0,,,,False
643,lit503,CKD-20-40 (20 °C),CKD,"Han, 2007",ambient,,20.0,0.4,320.0,0.0,0.0,320.0,46.0,95.0,28.0,672.0,20160.0,672.0,560.0,38.5,,,,False
